Cuenta;Demanda de clase;Razón no1;Razones que determinan cuantas clases matrículan (no.1);Razón no2;Razones que determinan cuantas clases matrículan (no.2);Razón no3;Razones que determinan cuantas clases matrículan (no.3);Hora 7-9am;Hora 9-11am;Hora 11-1pm;Hora 1-3pm;Hora 3-5pmu;Hora 5-7pm;Hora 7-9pm;Egreso diversificado;¿estudios universitarios?;Universidad matrículado;Univeresidad matrículado otro;Educación Superior;Trabajo;Definir horario;Estado civil:;Sexo:;Cuenta;Campus original;Campus original;campus actual;Marca;CódigoCarrera;NombreCarrera;FACULTAD;CARRERA AGRUPADORA;PeriodoDeIngreso;PeriodoDeIngreso;ClasesAprobadas;ClasesReprobadas;Reprobó;Rango reporbación;ClasesRetiradas;Dscto_Q1 2017;DsctoCole_Q1 2017;DsctoMat_Q1 2017;Período de Ingreso;Q1 2019;Curso mat_promedio;Curso mat_er Q
31811284;Muy alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;La carga laboral que tiene ese periodo;Razón3;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Sí;Sí;Sí;Sí;No;No;No;2017;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Femenino;31811284;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2018-M1;Q1 2018;13;1;1;si;1;No;No;No;4;3;Bajo;Bajo
31851451;Muy alto;Razón1;Capacidad de pago;Razón2;;Razón3;;Sí;No;No;No;No;No;No;2011;No;;;;No;Vespertino (12:00m-6:00pm);Soltero;Masculino;31851451;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2018-M5;Q4 2018;1;0;0;no;0;No;No;No;1;2;#N/A;Subio
31741649;Regular;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Compromisos personales;Sí;Sí;No;No;Sí;Sí;No;2012;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;No;Mixto o turnos no definidos;Soltero;Femenino;31741649;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-18;LICENCIATURA EN RECURSOS HUMANOS;FCAS;Recursos Humanos;2017-M4;Q3 2017;28;1;1;si;1;No;No;No;4;5;#N/A;Subio
31741662;Alto;Razón1;Compromisos personales;Razón2;Capacidad de pago;Razón3;Disponibilidad de clases en horarios a su conveniencia;No;Sí;No;No;No;No;No;2017;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Femenino;31741662;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-12;LICENCIATURA EN DISEÑO GRÁFICO;FCAS;Diseño Gráfico;2017-M4;Q3 2017;22;4;4 a 5;si;0;No;No;No;4;3;Bajo;Bajo
61821401;Alto;Razón1;Capacidad de pago;Razón2;;Razón3;;Sí;No;No;No;No;No;No;2018;No;;;;No;Mixto o turnos no definidos;Soltero;Masculino;61821401;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2018-M2;Q2 2018;9;2;2 a 3;si;0;No;No;No;4;3;Bajo;Bajo
31711572;Muy alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;Capacidad de pago;Razón3;;No;No;No;No;Sí;Sí;Sí;2016;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Femenino;31711572;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-7 ;INGENIERÍA EN ELECTRÓNICA;FIA;Electrónica;2017-M1;Q1 2017;24;2;2 a 3;si;0;No;No;No;3;3;#N/A;Igual
317111161;Muy alto;Razón1;Capacidad de pago;Razón2;Compromisos personales;Razón3;La carga laboral que tiene ese periodo;No;No;No;No;No;Sí;No;2017;No;;;;Sí;Nocturno (6:00pm-6:00am);Soltero;Masculino;317111161;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2017-M1;Q1 2017;5;0;0;no;1;No;No;No;2;3;#N/A;Subio
31851024;Bajo;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;;Razón3;;No;No;No;No;Sí;Sí;Sí;2011;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;No;Matutino (6:00am- 12:00m);Soltero;Masculino;31851024;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-7 ;INGENIERÍA EN ELECTRÓNICA;FIA;Electrónica;2018-M5;Q4 2018;22;0;0;no;0;No;No;No;4;2;Bajo;Bajo
31711046;Alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;Capacidad de pago;Razón3;La carga laboral que tiene ese periodo;No;No;No;No;No;Sí;Sí;2017;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Matutino (6:00am- 12:00m);Soltero;Masculino;31711046;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L10B;LICENCIATURA EN DERECHO (COMERCIAL INTERNACIONAL);FCAS;Derecho;2017-M1;Q1 2017;44;4;4 a 5;si;1;No;No;No;4;5;#N/A;Subio
31841252;Alto;Razón1;Capacidad de pago;Razón2;;Razón3;;No;Sí;Sí;No;No;No;No;2011;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Diurno (6:00am- 6:00pm);Casado;Masculino;31841252;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2018-M4;Q3 2018;6;0;0;no;1;No;No;No;3;3;#N/A;Igual
