Cuenta;Demanda de clase;Razón no1;Razones que determinan cuantas clases matrículan (no.1);Razón no2;Razones que determinan cuantas clases matrículan (no.2);Razón no3;Razones que determinan cuantas clases matrículan (no.3);Hora 7-9am;Hora 9-11am;Hora 11-1pm;Hora 1-3pm;Hora 3-5pmu;Hora 5-7pm;Hora 7-9pm;Egreso diversificado;¿estudios universitarios?;Universidad matrículado;Univeresidad matrículado otro;Educación Superior;Trabajo;Definir horario;Estado civil:;Sexo:;Cuenta;Campus original;Campus original;campus actual;Marca;CódigoCarrera;NombreCarrera;FACULTAD;CARRERA AGRUPADORA;PeriodoDeIngreso;PeriodoDeIngreso;ClasesAprobadas;ClasesReprobadas;Reprobó;Rango reporbación;ClasesRetiradas;Dscto_Q1 2017;DsctoCole_Q1 2017;DsctoMat_Q1 2017;Período de Ingreso;Q1 2019;Curso mat_promedio;Curso mat_er Q
41741102;Alto;Razón1;Compromisos personales;Razón2;La carga laboral que tiene ese periodo;Razón3;Disponibilidad de clases en horarios a su conveniencia;No;No;No;No;No;Sí;Sí;2017;No;;;;Sí;Diurno (6:00am- 6:00pm);Soltero;Masculino;41741102;4;CEUTEC - LCE;CEUTEC - LCE;CEUTEC;I-9 ;INGENIERIA EN GESTIÓN LOGÍSTICA;FIA;Gestión Logística;2017-M4;Q3 2017;13;2;2 a 3;si;0;No;No;No;4;2;Bajo;Bajo
41751082;Regular;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;La carga laboral que tiene ese periodo;No;No;No;No;No;Sí;No;2017;No;;;;Sí;Vespertino (12:00m-6:00pm);Soltero;Masculino;41751082;4;CEUTEC - LCE;CEUTEC - LCE;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2017-M5;Q4 2017;17;0;0;no;1;No;No;No;4;3;Bajo;Bajo
31711297;Alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;;Razón3;;No;Sí;No;No;No;No;No;2016;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Masculino;31711297;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-15;LICENCIATURA EN CONTADURÍA PÚBLICA Y FINANZAS;FCAS;Contaduría Pública y Finanzas;2017-M1;Q1 2017;14;7;6 a 7;si;1;Si;SI;SI;4;2;Bajo;Bajo
31751427;Regular;Razón1;Capacidad de pago;Razón2;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón3;;No;No;No;No;No;Sí;No;2010;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Mixto o turnos no definidos;Soltero;Femenino;31751427;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;T-5 ;TÉCNICO UNIVERSITARIO EN ADMINISTRACIÓN;FCAS - T;Administración;2017-M5;Q4 2017;10;0;0;no;1;No;No;No;4;2;Bajo;Bajo
31751294;Muy alto;Razón1;Capacidad de pago;Razón2;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón3;No había disponibilidad de cupos;Sí;Sí;Sí;No;No;No;No;2017;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Femenino;31751294;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-18;LICENCIATURA EN RECURSOS HUMANOS;FCAS;Recursos Humanos;2017-M5;Q4 2017;16;1;1;si;1;No;No;No;3;4;#N/A;Subio
31851343;Alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;La carga laboral que tiene ese periodo;Razón3;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Sí;Sí;No;No;No;Sí;No;2018;No;;;;No;Mixto o turnos no definidos;Soltero;Masculino;31851343;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2018-M5;Q4 2018;4;0;0;no;0;No;No;No;4;5;#N/A;Subio
41711314;Alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;Capacidad de pago;Razón3;No había disponibilidad de cupos;No;No;No;Sí;Sí;Sí;No;2016;No;;;;No;Vespertino (12:00m-6:00pm);Soltero;Masculino;41711314;4;CEUTEC - LCE;CEUTEC - LCE;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2017-M1;Q1 2017;27;1;1;si;0;No;No;No;4;3;Bajo;Bajo
617111059;Muy alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;La carga laboral que tiene ese periodo;Razón3;Capacidad de pago;No;No;No;No;No;No;Sí;2017;No;;;;Sí;Matutino (6:00am- 12:00m);Soltero;Masculino;617111059;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L10A;LICENCIATURA EN DERECHO (EMPRESARIAL);FCAS;Derecho;2017-M1;Q1 2017;20;10;10 a 11;si;0;No;No;No;4;5;#N/A;Subio
61811407;Alto;Razón1;Capacidad de pago;Razón2;La carga laboral que tiene ese periodo;Razón3;;No;No;No;No;No;Sí;Sí;2018;Sí;Otro;ucenm;Ya tiene otro título de educación superior;Sí;Mixto o turnos no definidos;Soltero;Femenino;61811407;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-18;LICENCIATURA EN RECURSOS HUMANOS;FCAS;Recursos Humanos;2018-M1;Q1 2018;1;2;2 a 3;si;0;No;No;No;3;2;Bajo;Bajo
41811230;Regular;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;No había disponibilidad de cupos;Razón3;Capacidad de pago;No;No;No;No;No;Sí;No;2015;No;;;;Sí;Diurno (6:00am- 6:00pm);Soltero;Masculino;41811230;4;CEUTEC - LCE;CEUTEC - LCE;CEUTEC;L-6 ;LICENCIATURA EN MERCADOTECNIA;FCAS;Mercadotecnia;2018-M1;Q1 2018;12;0;0;no;1;No;No;No;3;2;Bajo;Bajo
31741616;Regular;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;;Razón3;;Sí;No;No;No;Sí;Sí;Sí;2015;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Diurno (6:00am- 6:00pm);Soltero;Masculino;31741616;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-16;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS;FCAS;Administración de Empresas;2017-M4;Q3 2017;32;1;1;si;0;No;No;No;3;5;#N/A;Subio
31821211;Regular;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;La carga laboral que tiene ese periodo;Razón3;Capacidad de pago;No;No;Sí;Sí;Sí;No;No;2018;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Nocturno (6:00pm-6:00am);Soltero;Masculino;31821211;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2018-M2;Q2 2018;14;1;1;si;1;No;No;No;3;3;#N/A;Igual
41711182;Muy alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;;Razón3;;No;No;No;No;Sí;Sí;No;2016;No;;;;No;Mixto o turnos no definidos;Soltero;Masculino;41711182;4;CEUTEC - LCE;CEUTEC - LCE;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2017-M1;Q1 2017;26;3;2 a 3;si;0;No;No;No;4;3;Bajo;Bajo
41711099;Alto;Razón1;Compromisos personales;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;;Sí;Sí;No;No;No;No;No;2017;No;;;;No;Vespertino (12:00m-6:00pm);Soltero;Masculino;41711099;4;CEUTEC - LCE;CEUTEC - LCE;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2017-M1;Q1 2017;20;5;4 a 5;si;1;No;No;No;4;3;Bajo;Bajo
41841026;Muy alto;Razón1;Compromisos personales;Razón2;;Razón3;;Sí;No;No;No;No;No;No;2018;No;;;;No;Mixto o turnos no definidos;Soltero;Masculino;41841026;4;CEUTEC - LCE;CEUTEC - LCE;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2018-M4;Q3 2018;7;0;0;no;0;No;No;No;4;3;Bajo;Bajo
31711337;Muy alto;Razón1;Capacidad de pago;Razón2;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón3;La carga laboral que tiene ese periodo;Sí;Sí;No;No;No;Sí;Sí;2017;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Masculino;31711337;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2017-M1;Q1 2017;14;3;2 a 3;si;1;No;No;No;4;4;#N/A;Igual
617111530;Alto;Razón1;Capacidad de pago;Razón2;Compromisos personales;Razón3;Disponibilidad de clases en horarios a su conveniencia;No;Sí;No;No;No;No;No;2017;No;;;;Sí;Mixto o turnos no definidos;Soltero;Masculino;617111530;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-6 ;LICENCIATURA EN MERCADOTECNIA;FCAS;Mercadotecnia;2017-M1;Q1 2017;5;0;0;no;0;No;No;No;3;2;Bajo;Bajo
31811802;Regular;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Compromisos personales;No;No;No;No;No;Sí;Sí;1991;Sí;Otro;Metropolitana;Ya tiene otro título de educación superior;Sí;Mixto o turnos no definidos;Casado;Femenino;31811802;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L10A;LICENCIATURA EN DERECHO (EMPRESARIAL);FCAS;Derecho;2018-M1;Q1 2018;14;1;1;si;0;No;No;No;4;4;#N/A;Igual
31751109;Regular;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;;No;Sí;Sí;Sí;Sí;No;No;2017;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Femenino;31751109;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L14A;PSICOLOGÍA (ÉNFASIS: ÁREA CLÍNICA);FCAS;Psicología;2017-M5;Q4 2017;10;3;2 a 3;si;0;No;No;No;3;2;Bajo;Bajo
31841380;Muy alto;Razón1;La carga laboral que tiene ese periodo;Razón2;Compromisos personales;Razón3;;Sí;No;No;No;No;No;No;;No;;;;Sí;Vespertino (12:00m-6:00pm);Casado;Femenino;31841380;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;T-8 ;TÉCNICO EN DISEÑO GRÁFICO;FCAS - T;Diseño Gráfico;2018-M4;Q3 2018;4;2;2 a 3;si;0;No;No;No;3;2;Bajo;Bajo
41811028;Muy alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón3;La carga laboral que tiene ese periodo;No;No;No;No;No;Sí;No;2018;No;;;;No;Vespertino (12:00m-6:00pm);Soltero;Femenino;41811028;4;CEUTEC - LCE;CEUTEC - LCE;CEUTEC;L-16;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS;FCAS;Administración de Empresas;2018-M1;Q1 2018;10;2;2 a 3;si;0;No;No;No;3;2;Bajo;Bajo
31721303;Muy alto;Razón1;La carga laboral que tiene ese periodo;Razón2;Capacidad de pago;Razón3;No había disponibilidad de cupos;No;No;No;No;No;Sí;Sí;2017;No;;;;Sí;Diurno (6:00am- 6:00pm);Soltero;Femenino;31721303;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L14C;PSICOLOGÍA (ÉNFASIS: ÁREA INDUSTRIAL);FCAS;Psicología;2017-M2;Q2 2017;15;0;0;no;1;No;No;No;2;1;Bajo;Bajo
61851286;Alto;Razón1;La carga laboral que tiene ese periodo;Razón2;;Razón3;;No;No;No;No;No;No;Sí;2018;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Vespertino (12:00m-6:00pm);Soltero;Masculino;61851286;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-15;LICENCIATURA EN CONTADURIA PUBLICA Y FINANZAS;FCAS;Contaduría Pública y Finanzas;2018-M5;Q4 2018;2;0;0;no;0;No;No;No;2;1;Bajo;Bajo
61721239;Alto;Razón1;Capacidad de pago;Razón2;La carga laboral que tiene ese periodo;Razón3;Disponibilidad de clases en horarios a su conveniencia;Sí;Sí;No;Sí;No;No;No;2011;No;;;;Sí;Mixto o turnos no definidos;Casado;Femenino;61721239;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-18;LICENCIATURA EN RECURSOS HUMANOS;FCAS;Recursos Humanos;2017-M2;Q2 2017;14;0;0;no;1;No;No;No;3;2;Bajo;Bajo
31811333;Muy alto;Razón1;Capacidad de pago;Razón2;;Razón3;;No;Sí;Sí;Sí;No;No;No;2017;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Femenino;31811333;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-12;LICENCIATURA EN DISEÑO GRÁFICO;FCAS;Diseño Gráfico;2018-M1;Q1 2018;17;1;1;si;0;No;No;No;4;4;#N/A;Igual
317111138;Regular;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;Capacidad de pago;Razón3;La carga laboral que tiene ese periodo;No;No;No;No;No;No;Sí;2015;No;;;;Sí;Diurno (6:00am- 6:00pm);Soltero;Masculino;317111138;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L10B;LICENCIATURA EN DERECHO (COMERCIAL INTERNACIONAL);FCAS;Derecho;2017-M1;Q1 2017;40;2;2 a 3;si;0;Si;SI;SI;3;2;Bajo;Bajo
31821014;Alto;Razón1;Capacidad de pago;Razón2;La carga laboral que tiene ese periodo;Razón3;No había disponibilidad de cupos;No;No;No;No;No;Sí;Sí;2012;No;;;;Sí;Diurno (6:00am- 6:00pm);Soltero;Masculino;31821014;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-7 ;INGENIERÍA EN ELECTRÓNICA;FIA;Electrónica;2018-M2;Q2 2018;17;0;0;no;1;No;No;No;3;4;#N/A;Subio
61821627;Regular;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;No había disponibilidad de cupos;Razón3;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Sí;No;Sí;No;Sí;No;No;2003;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Diurno (6:00am- 6:00pm);Soltero;Masculino;61821627;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-16;LICENCIATURA EN ADMINISTRACION DE EMPRESAS;FCAS;Administración de Empresas;2018-M2;Q2 2018;9;0;0;no;0;No;No;No;3;2;Bajo;Bajo
61821153;Muy alto;Razón1;No había disponibilidad de cupos;Razón2;La carga laboral que tiene ese periodo;Razón3;Capacidad de pago;No;No;No;No;No;Sí;Sí;2015;Sí;Universidad Tecnológica Centroamericana UNITEC;;Esta es la primera carrera de educación superior que está sacanda;Sí;Mixto o turnos no definidos;Soltero;Femenino;61821153;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-16;LICENCIATURA EN ADMINISTRACION DE EMPRESAS;FCAS;Administración de Empresas;2018-M2;Q2 2018;7;2;2 a 3;si;0;No;No;No;4;2;Bajo;Bajo
61821139;Regular;Razón1;Compromisos personales;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;La carga laboral que tiene ese periodo;Sí;Sí;No;No;No;No;No;2018;No;;;;Sí;Vespertino (12:00m-6:00pm);Soltero;Masculino;61821139;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-6 ;LICENCIATURA EN MERCADOTECNIA;FCAS;Mercadotecnia;2018-M2;Q2 2018;4;1;1;si;0;No;No;No;3;2;Bajo;Bajo
31711250;Regular;Razón1;Capacidad de pago;Razón2;Compromisos personales;Razón3;Disponibilidad de clases en horarios a su conveniencia;No;No;No;No;No;Sí;Sí;2016;No;;;;Sí;Diurno (6:00am- 6:00pm);Unión libre;Masculino;31711250;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-15;LICENCIATURA EN CONTADURÍA PÚBLICA Y FINANZAS;FCAS;Contaduría Pública y Finanzas;2017-M1;Q1 2017;14;0;0;no;1;No;No;No;2;3;#N/A;Subio
61721489;Regular;Razón1;Compromisos personales;Razón2;Capacidad de pago;Razón3;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;No;No;No;Sí;Sí;No;No;2015;No;;;;Sí;Matutino (6:00am- 12:00m);Soltero;Femenino;61721489;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-6 ;LICENCIATURA EN MERCADOTECNIA;FCAS;Mercadotecnia;2017-M2;Q2 2017;14;3;2 a 3;si;1;No;No;No;3;2;Bajo;Bajo
61721240;Regular;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Sí;Sí;No;No;No;No;No;2009;Sí;Otro;Egrese de la UPNFM 2014;Ya tiene otro título de educación superior;Sí;Vespertino (12:00m-6:00pm);Casado;Femenino;61721240;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-16;LICENCIATURA EN ADMINISTRACION DE EMPRESAS;FCAS;Administración de Empresas;2017-M2;Q2 2017;19;0;0;no;1;No;No;No;3;2;Bajo;Bajo
61711552;Muy alto;Razón1;Capacidad de pago;Razón2;Compromisos personales;Razón3;Disponibilidad de clases en horarios a su conveniencia;No;No;No;No;No;Sí;Sí;2017;No;;;;Sí;Nocturno (6:00pm-6:00am);Soltero;Femenino;61711552;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-6 ;LICENCIATURA EN MERCADOTECNIA;FCAS;Mercadotecnia;2017-M1;Q1 2017;20;1;1;si;1;No;No;No;3;2;Bajo;Bajo
61851121;Alto;Razón1;Capacidad de pago;Razón2;Compromisos personales;Razón3;Disponibilidad de clases en horarios a su conveniencia;No;No;No;No;No;Sí;Sí;2018;No;;;;Sí;Mixto o turnos no definidos;Soltero;Femenino;61851121;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-15;LICENCIATURA EN CONTADURIA PUBLICA Y FINANZAS;FCAS;Contaduría Pública y Finanzas;2018-M5;Q4 2018;1;1;1;si;0;No;No;No;2;1;Bajo;Bajo
31851204;Muy alto;Razón1;Capacidad de pago;Razón2;La carga laboral que tiene ese periodo;Razón3;Compromisos personales;Sí;No;No;No;No;No;No;2014;No;;;;Sí;Mixto o turnos no definidos;Soltero;Femenino;31851204;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;T-3 ;TÉCNICO UNIVERSITARIO EN MERCADOTECNIA Y VENTAS;FCAS - T;Mercadotecnia;2018-M5;Q4 2018;2;0;0;no;1;No;No;No;3;2;Bajo;Bajo
61821502;Alto;Razón1;La carga laboral que tiene ese periodo;Razón2;Compromisos personales;Razón3;No había disponibilidad de cupos;No;No;No;No;No;No;Sí;2018;No;;;;Sí;Diurno (6:00am- 6:00pm);Soltero;Femenino;61821502;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L10A;LICENCIATURA EN DERECHO (EMPRESARIAL);FCAS;Derecho;2018-M2;Q2 2018;8;1;1;si;0;No;No;No;3;2;Bajo;Bajo
61841494;Regular;Razón1;Capacidad de pago;Razón2;Compromisos personales;Razón3;La carga laboral que tiene ese periodo;No;No;No;No;No;No;Sí;2018;No;;;;Sí;Mixto o turnos no definidos;Casado;Femenino;61841494;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L14A;PSICOLOGÍA (ÉNFASIS: ÁREA CLÍNICA);FCAS;Psicología;2018-M4;Q3 2018;1;1;1;si;0;No;No;No;2;1;Bajo;Bajo
31851043;Regular;Razón1;No había disponibilidad de cupos;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Capacidad de pago;No;Sí;No;No;No;No;No;2018;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Masculino;31851043;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-6 ;INGENIERÍA EN INFORMÁTICA;FIA;Informática;2018-M5;Q4 2018;2;2;2 a 3;si;0;No;No;No;4;4;#N/A;Igual
31711704;Alto;Razón1;Compromisos personales;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Sí;Sí;No;No;No;No;No;2017;No;;;;Sí;Mixto o turnos no definidos;Soltero;Masculino;31711704;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-12;LICENCIATURA EN DISEÑO GRÁFICO;FCAS;Diseño Gráfico;2017-M1;Q1 2017;18;0;0;no;1;No;No;No;3;3;#N/A;Igual
61811471;Alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;No había disponibilidad de cupos;Razón3;Compromisos personales;No;Sí;No;No;No;No;No;2018;No;;;;No;Matutino (6:00am- 12:00m);Soltero;Masculino;61811471;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-12;DISEÑO GRAFICO;FCAS;Diseño Gráfico;2018-M1;Q1 2018;10;2;2 a 3;si;1;No;No;No;4;2;Bajo;Bajo
617111459;Regular;Razón1;Compromisos personales;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Capacidad de pago;No;No;No;No;No;Sí;Sí;2015;No;;;;Sí;Mixto o turnos no definidos;Soltero;Femenino;617111459;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-15;LICENCIATURA EN CONTADURIA PUBLICA Y FINANZAS;FCAS;Contaduría Pública y Finanzas;2017-M1;Q1 2017;7;3;2 a 3;si;0;No;NO;NO;3;1;Bajo;Bajo
617111565;Alto;Razón1;La carga laboral que tiene ese periodo;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;;No;No;No;No;No;Sí;Sí;2007;No;;;;Sí;Diurno (6:00am- 6:00pm);Unión libre;Femenino;617111565;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-15;LICENCIATURA EN CONTADURIA PUBLICA Y FINANZAS;FCAS;Contaduría Pública y Finanzas;2017-M1;Q1 2017;10;1;1;si;1;No;No;No;3;2;Bajo;Bajo
31841364;Regular;Razón1;La carga laboral que tiene ese periodo;Razón2;No había disponibilidad de cupos;Razón3;Capacidad de pago;Sí;Sí;No;No;No;No;No;2014;Sí;Otro;Universidad Nacional De Agricultura;Esta es la primera carrera de educación superior que está sacanda;Sí;Mixto o turnos no definidos;Soltero;Masculino;31841364;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;I-9 ;INGENIERIA EN GESTIÓN LOGÍSTICA;FIA;Gestión Logística;2018-M4;Q3 2018;5;0;0;no;1;No;No;No;3;4;#N/A;Subio
617111039;Alto;Razón1;Capacidad de pago;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Compromisos personales;No;No;No;No;No;Sí;No;2016;No;;;;Sí;Matutino (6:00am- 12:00m);Soltero;Femenino;617111039;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-15;LICENCIATURA EN CONTADURIA PUBLICA Y FINANZAS;FCAS;Contaduría Pública y Finanzas;2017-M1;Q1 2017;21;0;0;no;1;No;No;No;4;2;Bajo;Bajo
61711463;Alto;Razón1;Compromisos personales;Razón2;Capacidad de pago;Razón3;;No;No;No;No;No;No;Sí;2016;No;;;;Sí;Diurno (6:00am- 6:00pm);Soltero;Femenino;61711463;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-18;LICENCIATURA EN RECURSOS HUMANOS;FCAS;Recursos Humanos;2017-M1;Q1 2017;20;1;1;si;1;No;No;No;3;2;Bajo;Bajo
61851167;Alto;Razón1;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón2;;Razón3;;No;No;No;Sí;No;No;No;2000;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;Sí;Diurno (6:00am- 6:00pm);Soltero;Masculino;61851167;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-6 ;LICENCIATURA EN MERCADOTECNIA;FCAS;Mercadotecnia;2018-M5;Q4 2018;12;0;0;no;1;No;No;No;2;1;Bajo;Bajo
318111136;Alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;;Razón3;;No;No;No;No;No;Sí;No;2009;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Esta es la primera carrera de educación superior que está sacanda;No;Matutino (6:00am- 12:00m);Unión libre;Femenino;318111136;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-16;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS;FCAS;Administración de Empresas;2018-M1;Q1 2018;10;1;1;si;1;No;No;No;3;3;#N/A;Igual
61711756;Alto;Razón1;No había disponibilidad de cupos;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Capacidad de pago;No;No;No;No;No;Sí;Sí;2017;No;;;;Sí;Mixto o turnos no definidos;Unión libre;Masculino;61711756;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-12;DISEÑO GRAFICO;FCAS;Diseño Gráfico;2017-M1;Q1 2017;8;1;1;si;1;No;No;No;3;2;Bajo;Bajo
31821464;Regular;Razón1;La carga laboral que tiene ese periodo;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Compromisos personales;Sí;No;No;No;No;Sí;No;1995;Sí;Universidad Nacional Autónoma de Honduras UNAH y centros regionales;;Ya tiene otro título de educación superior;Sí;Mixto o turnos no definidos;Casado;Femenino;31821464;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L10A;LICENCIATURA EN DERECHO (EMPRESARIAL);FCAS;Derecho;2018-M2;Q2 2018;5;0;0;no;0;No;No;No;2;2;#N/A;Igual
31741277;Alto;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;La demanda académica es demasiado alta para el tiempo que tiene disponible para estudiar;Razón3;Compromisos personales;No;No;No;No;Sí;No;No;2012;No;;;;No;Matutino (6:00am- 12:00m);Unión libre;Femenino;31741277;3;CEUTEC - TGU;CEUTEC - TGU;CEUTEC;L-16;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS;FCAS;Administración de Empresas;2017-M4;Q3 2017;7;2;2 a 3;si;1;No;No;No;3;3;#N/A;Igual
61721120;Regular;Razón1;Disponibilidad de clases en horarios a su conveniencia;Razón2;Capacidad de pago;Razón3;No había disponibilidad de cupos;Sí;No;No;No;Sí;Sí;No;2016;Sí;Otro;UPNFM;Esta es la primera carrera de educación superior que está sacanda;Sí;Vespertino (12:00m-6:00pm);Soltero;Femenino;61721120;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-18;LICENCIATURA EN RECURSOS HUMANOS;FCAS;Recursos Humanos;2017-M2;Q2 2017;21;0;0;no;0;No;No;No;3;2;Bajo;Bajo
61741097;Alto;Razón1;No había disponibilidad de cupos;Razón2;Disponibilidad de clases en horarios a su conveniencia;Razón3;Capacidad de pago;Sí;Sí;No;No;No;No;No;2017;No;;;;Sí;Vespertino (12:00m-6:00pm);Soltero;Femenino;61741097;6;CEUTEC - SPS;CEUTEC - SPS;CEUTEC;L-12;DISEÑO GRAFICO;FCAS;Diseño Gráfico;2017-M4;Q3 2017;21;0;0;no;0;No;No;No;3;2;Bajo;Bajo
