anio_matricula;modulo_matricula;no identificacion;Sexo;Sede;nivel;vertical;clases_matriculadas;anio_ingreso;modulo_ingreso;primera_matricula;ultima_matricula;tipo_ingreso_1
2019;2;8281;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;1;2018m1;2018m5;REINGRESO
2019;2;8282;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;2;2018m2;2019m1;REINGRESO
2019;2;8283;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;6;2018;2;2018m2;2019m1;REINGRESO
2019;2;8284;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;2;2018m2;2019m1;REINGRESO
2019;2;8285;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2018;2;2018m2;2019m1;REINGRESO
2019;2;8286;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;4;2018m5;2019m1;REINGRESO
2019;2;8287;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;8288;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;4;2018m4;2019m1;REINGRESO
2019;2;8289;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;4;2018m4;2019m1;REINGRESO
2019;2;8290;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8291;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8292;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8293;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;1;2019m1;2019m1;REINGRESO
2019;2;8294;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;1;2019m1;2019m1;REINGRESO
2019;2;8295;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;1;2019m1;2019m1;REINGRESO
2019;2;8296;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;1;2019m1;2019m1;REINGRESO
2019;2;8297;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2019;1;2019m1;2019m1;REINGRESO
2019;2;8298;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;1;2019m1;2019m1;REINGRESO
2019;2;8299;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;1;2019m1;2019m1;REINGRESO
2019;2;8300;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2015;4;2015m4;2019m1;REINGRESO
2019;2;8301;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2015;1;2015m1;2019m1;REINGRESO
2019;2;8302;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2016;4;2016m4;2019m1;REINGRESO
2019;2;8303;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8304;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2019;2;2019m2;2019m2;PRIMER INGRESO
2019;2;8305;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2018;4;2018m4;2019m1;REINGRESO
2019;2;8306;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;1;2018m1;2019m1;REINGRESO
2019;2;8307;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;1;2018m1;2019m1;REINGRESO
2019;2;8308;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;1;2018m1;2019m1;REINGRESO
2019;2;8309;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2018;1;2018m1;2019m1;REINGRESO
2019;2;8310;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;1;2018m1;2019m1;REINGRESO
2019;2;8311;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2018;4;2018m4;2019m1;REINGRESO
2019;2;8312;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;4;2018m4;2019m1;REINGRESO
2019;2;8313;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2018;4;2018m4;2019m1;REINGRESO
2019;2;8314;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2012;1;2012m1;2019m1;REINGRESO
2019;2;8315;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2013;1;2013m1;2019m1;REINGRESO
2019;2;8316;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2013;4;2013m4;2019m1;REINGRESO
2019;2;8317;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2011;2;2011m2;2019m1;REINGRESO
2019;2;8318;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2016;4;2016m4;2019m1;REINGRESO
2019;2;8319;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2016;4;2016m4;2019m1;REINGRESO
2019;2;8320;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2016;4;2016m4;2018m5;REINGRESO
2019;2;8321;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2016;5;2016m5;2019m1;REINGRESO
2019;2;8322;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2017;2;2017m2;2019m1;REINGRESO
2019;2;8323;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2017;1;2017m1;2019m1;REINGRESO
2019;2;8324;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2017;5;2017m5;2019m1;REINGRESO
2019;2;8325;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2017;4;2017m4;2019m1;REINGRESO
2019;2;8326;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2015;4;2015m4;2019m1;REINGRESO
2019;2;8327;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2015;4;2015m4;2019m1;REINGRESO
2019;2;8328;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2015;4;2015m4;2018m5;REINGRESO
2019;2;8329;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2014;4;2014m4;2019m1;REINGRESO
2019;2;8330;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2015;4;2015m4;2019m1;REINGRESO
2019;2;8331;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2015;4;2015m4;2019m1;REINGRESO
2019;2;8332;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2015;5;2015m5;2019m1;REINGRESO
2019;2;8333;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2016;1;2016m1;2019m1;REINGRESO
2019;2;8334;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;4;2016;1;2016m1;2019m1;REINGRESO
2019;2;8335;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2016;1;2016m1;2019m1;REINGRESO
2019;2;8336;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2016;4;2016m4;2019m1;REINGRESO
2019;2;8337;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2016;4;2016m4;2019m1;REINGRESO
2019;2;8338;FEMENINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;5;2016;4;2016m4;2019m1;REINGRESO
2019;2;8339;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;3;2016;4;2016m4;2019m1;REINGRESO
2019;2;8340;MASCULINO;San Pedro Sula;Undergrad Regular;Engineering & Technology;2;2016;4;2016m4;2019m1;REINGRESO
